Name,MET(s),Ra,Dec,Pos_error,T90(s)
GRB241115A,753369509,86.7705,-0.6738,0.000453,3.0720
GRB241030B,752006065,50.7927,34.4469,0.000246,6.8480
GRB241025A,751512991,333.6538,83.5756,0.000080,123.9060
GRB241010A,750247519,153.3814,11.5343,0.000100,30.8600
GRB240619A,740461413,162.0000,17.3000,1.600000,36.1260
GRB240529A,738643909,335.3582,51.5619,0.000056,160.6700
GRB230827B,714809315,299.6375,54.4667,0.050000,11.0050
GRB230409B,702709022,329.5148,52.8321,0.000259,9.7900
GRB230328B,701708091,291.0078,80.0096,0.000057,18.8800
GRB230325A,701406940,296.8498,-46.0761,0.000272,38.0500
GRB230204A,697172222,238.1996,-50.9167,0.000259,182.0500
GRB220430A,673019600,97.6121,9.5475,0.000259,43.1000
GRB211024B,656806841,154.7127,24.5682,0.000246,603.5000
GRB210730A,649313854,149.5923,69.6894,0.000285,4.1600
GRB210308A,636878281,67.0739,37.4339,0.000060,5.4370
GRB210207B,634427533,270.6350,53.6822,0.000054,95.6900
GRB200819A,619544637,21.4240,63.0610,0.000220,23.6200
GRB200806A,618420534,52.9322,37.0787,0.000181,38.8000
GRB200411A,608272147,47.6641,-52.3176,0.000181,1.4400
GRB191031D,594249816,283.2895,47.6441,0.000246,0.2900
GRB190203A,570901435,22.5967,55.7224,0.000060,96.0000
GRB190109B,568727770,55.4872,63.5920,0.000194,8.1920
GRB181110A,563532216,302.3178,-36.8966,0.000060,138.4000
GRB180905A,557848671,91.0627,-4.5701,0.000194,165.3000
GRB180828A,557175451,268.7181,-25.7979,0.000233,8.2560
GRB180806A,555287943,11.5536,24.3370,-999,15.6160
GRB180728A,554491745,253.5647,-54.0445,0.000056,6.4000
GRB180314A,542681004,99.2653,-24.4961,0.000054,22.0160
GRB180204A,539404577,330.1332,30.8378,0.000181,1.1520
GRB171212A,534772646,293.9178,20.5920,0.000272,320.0000
GRB171209A,534523581,139.4027,-30.5202,0.000181,161.7000
GRB170912B,526890831,215.4585,-61.9969,0.000181,13.5680
GRB170906C,526375582,128.6535,70.8117,0.000181,48.4000
GRB170906B,526352145,232.2042,-28.2561,0.000233,11.5200
GRB170822A,525085916,94.3864,55.0042,0.000181,64.0000
GRB170524A,517348160,319.4864,48.6069,0.000557,0.1000
GRB170318B,511543675,284.3061,6.2992,0.000233,4.0960
GRB170127B,507222813,19.9771,-30.3581,0.000259,1.7280
GRB170111A,505787613,20.6974,-32.5651,0.000194,29.9000
GRB161015A,498243790,269.1500,30.1833,0.210000,15.1040
GRB160826A,493884762,183.1127,-67.6639,0.000453,52.6000
GRB160824A,493773749,80.0875,40.0283,0.000181,99.3000
GRB160425A,483319575,280.3274,-54.3601,0.000069,304.5800
GRB160223A,477884666,147.5977,9.3696,0.000854,117.7620
GRB160131A,475921235,78.1680,-7.0497,0.000056,325.0000
GRB160127A,475576991,225.9823,0.0729,0.000056,6.1600
GRB151229A,473064631,329.3698,-20.7321,0.000181,3.4560
GRB151027A,467611108,272.4869,61.3533,0.000181,123.3940
GRB151023A,467300588,270.9846,-8.3164,0.000285,10.6600
GRB150907B,463361191,255.3041,-63.7851,0.000233,62.0000
GRB150831B,462752369,271.0395,-27.2590,0.000479,13.7600
GRB150811A,460958773,291.3392,-15.4253,0.000078,34.0000
GRB150716A,458723207,278.4879,-12.9802,0.000531,44.0000
GRB150103A,442008141,131.6659,-48.8859,0.000194,49.1000
GRB140903A,431449233,238.0136,27.6026,0.000181,0.3000
GRB140709A,426561199,304.6623,51.2249,0.000181,69.6330
GRB140706A,426368003,49.2933,-38.0522,0.000058,43.7760
GRB140508A,421211037,255.6292,46.7500,1.500000,44.2880
GRB140502A,420712221,319.1882,48.9702,0.000259,20.0960
GRB140428A,420417653,194.3685,28.3850,0.000220,17.4200
GRB140413A,419040583,65.4548,-51.1831,0.000207,139.6000
GRB140129B,412692672,326.7569,26.2064,0.000065,1.3600
GRB131031A,404912014,29.6102,-1.5788,0.000608,7.4240
GRB131002A,402389663,253.2206,82.0541,0.000220,55.0400
GRB130803A,397216973,220.2527,-2.4920,0.000181,7.6160
GRB130627A,394016091,184.4153,-37.0870,0.000194,35.8400
GRB130528A,391452084,139.5051,87.3012,0.000246,55.5530
GRB130504A,389325937,272.4560,-16.3134,0.000220,50.0000
GRB130102A,378843056,311.4235,49.8176,0.000207,77.5000
GRB121212A,376988175,177.7929,78.0373,0.000080,6.8000
GRB121117A,374835059,31.6107,7.4196,0.000078,30.0000
GRB121102A,373516023,270.9009,-16.9579,0.000181,24.7000
GRB121028A,373093474,271.8995,-2.2936,0.000220,3.8000
GRB120816A,366837517,282.1438,-6.9379,0.000078,7.6000
GRB120805A,365894892,216.5384,5.8253,0.000349,48.0000
GRB120803A,365671339,269.5310,-6.7330,0.019416,10.0000
GRB120714A,363944809,167.9829,-30.6273,0.000207,16.2000
GRB120703A,363029120,339.3570,-29.7233,0.000067,8.9600
GRB120521B,359284070,197.0098,-52.7547,0.000194,91.1340
GRB120324A,354261552,291.0785,24.1297,0.000181,118.0000
GRB111121A,343585584,154.7612,-46.6707,0.000181,119.0000
GRB111029A,341574282,44.7836,57.1109,0.000246,7.6000
GRB110801A,333920984,89.4370,80.9559,0.000066,385.0000
GRB110223B,320189150,150.2330,-68.3015,0.000181,54.0000
GRB110213A,319267032,42.9641,49.2732,0.000065,34.3050
GRB101224A,314861235,285.9241,45.7137,0.000414,1.7280
GRB101117B,311714005,173.0023,-72.6628,0.000056,5.2000
GRB101017A,309004363,291.3857,-35.1448,0.000093,70.0000
GRB100906A,305473769,28.6838,55.6304,0.000079,110.5940
GRB100902A,305148716,48.6291,30.9789,0.000181,428.8000
GRB100606A,297544363,350.6266,-66.2413,0.000181,480.0000
GRB100413A,292872810,266.2214,15.8342,0.000181,184.0670
GRB091127A,281057147,36.5829,-18.9524,0.000071,8.7010
GRB091024A,278067357,339.2400,56.8850,0.007767,93.9540
GRB091010A,276835390,298.6667,-22.5333,0.050000,5.9520
GRB090813A,271829443,225.7878,88.5682,0.000181,7.5520
GRB090516A,264155242,138.2605,-11.8544,0.000194,123.1380
GRB090424A,262274894,189.5213,16.8375,0.000096,14.1440
GRB090419A,261841413,196.9286,-75.6056,0.000194,450.0000
GRB090307A,258090399,244.9943,-28.6333,0.000272,22.0000
GRB090306B,258073624,231.2040,-6.9580,0.022290,20.4000
GRB090117A,253898516,164.0042,-58.2500,0.050000,15.5520
GRB090113A,253564840,32.0575,33.4284,0.000194,17.4080
GRB090111A,253411103,251.6752,0.0776,0.000181,24.8000
GRB081203A,250005091,233.0316,63.5208,0.000065,294.0000
GRB081126A,249428032,323.5150,48.7106,0.000065,54.1450
GRB081109A,247906916,330.7899,-54.7112,0.000104,58.3690
GRB081029A,246937437,346.7723,-68.1555,0.000065,270.0000
GRB080916A,243251119,336.2758,-57.0230,0.000065,46.3370
GRB080810A,240066610,356.7928,0.3198,0.000078,75.2010
