Fermi_Name,Name,MET(s),Ra,Dec,Pos_error,T90(s),T90_error
GRB080825593,GRB080825C,241366429.0,233.95,-4.55,0.77,20.992,0.231
GRB080916009,GRB080916C,243216766.0,119.84717,-56.638333,0.000138885,62.977,0.81
GRB081006604,GRB81006,244996175.0,136.43,-62.1,0.52,6.4,0.923
GRB081024891,GRB081024B,246576161.0,322.95,21.2,0.22,0.64,0.264
GRB090217206,GRB90217,256539404.0,204.83,-8.42,0.35,33.281,0.724
GRB090227772,GRB090227B,257452263.0,10.48,29.24,1.0,0.304,0.023
GRB090323002,GRB90323,259459364.0,190.70955,17.053306,1.39e-05,133.89,0.572
GRB090328401,GRB90328,259925808.0,90.665292,-41.881611,6.94425e-05,61.697,1.81
GRB090510016,GRB90510,263607781.0,333.553,-26.584111,0.000111108,0.96,0.138
GRB090531775,GRB090531B,265487758.0,252.07479,-36.035,0.000944418,0.768,0.231
GRB090626189,GRB90626,267683530.0,170.01,-33.5,0.32,48.897,2.828
GRB090720710,GRB090720B,269802178.0,203.68054,-10.334694,0.000139,10.752,1.056
GRB090902462,GRB090902B,273582310.0,264.93921,27.324194,0.000138885,19.328,0.286
GRB090926181,GRB090926A,275631628.0,353.400154,-66.324067,3.05547e-05,13.76,0.286
GRB091003191,GRB91003,276237347.0,251.5198,36.6247,0.000472209,20.224,0.362
GRB091031500,GRB91031,278683230.0,71.4,-57.7,0.24,33.921,0.462
GRB091208410,GRB091208B,281958599.0,29.392208,16.889722,0.0,12.48,5.018
GRB100116897,GRB100116A,285370262.0,305.01,14.43,0.17,102.53,1.485
GRB100225115,GRB100225A,288758733.0,310.3,-59.4,0.9,12.992,1.925
GRB100325275,GRB100325A,291191770.0,330.24,-26.47,0.9,7.104,1.619
GRB100414097,GRB100414A,292904423.0,192.12483,8.6930306,0.000138885,26.497,2.073
GRB100620119,GRB100620A,298695091.0,86.98,-50.96,0.71,51.841,8.518
GRB100724029,GRB100724B,301624927.0,119.599,75.8562,0.88,114.69,3.238
GRB100728095,GRB100728A,301976252.0,88.758375,-15.255667,0.000138885,165.378,2.896
GRB100826957,GRB100826A,304556304.0,279.593,-22.128,1.2,84.993,0.724
GRB101014175,GRB101014A,308722314.0,27.206,-50.819,1.0,449.415,1.409
GRB101123952,GRB101123A,312245496.0,135.16,1.91,3.6,103.938,0.572
GRB110120666,GRB110120A,317231981.0,61.5,-12.0,0.36,26.173,1.568
GRB110328520,GRB110328B,323008161.0,121.06,45.84,3.23,83.97,3.482
GRB110428388,GRB110428A,325675112.0,5.5925833,64.849194,0.00197217,5.632,0.181
GRB110529034,GRB110529A,328322924.0,118.33,67.91,3.35,0.512,0.091
GRB110625881,GRB110625A,330728910.43,286.7327,6.7553,0.000583,26.881,0.572
GRB110709642,GRB110709A,331917869.0,238.89144,40.92427,0.000416655,43.201,0.405
GRB110721200,GRB110721A,332916465.0,333.65913,-38.59325,8.3331e-05,21.822,0.572
GRB110731465,GRB110731A,333803371.0,280.50413,-28.537167,0.000138885,7.485,0.572
GRB120107384,GRB120107A,347620337.0,246.4,-69.93,0.5,23.04,0.143
GRB120226871,GRB120226A,351982459.0,302.93,48.665,6.01,52.993,0.572
GRB120316008,GRB120316A,353549464.0,57.016,-56.288,0.584,26.624,0.362
GRB120328268,GRB120328B,354608782.0,228.14,22.8,1.0,29.697,1.056
GRB120624933,GRB120624B,362269436.0,170.88462,8.9285556,8.3331e-05,271.364,4.58
GRB120709883,GRB120709A,363561103.0,318.17277,-49.97297,0.000972195,27.328,0.958
GRB120711115,GRB120711A,363667496.0,94.678496,-70.999106,0.0,44.033,0.724
GRB120729456,GRB120729A,365252176.0,13.07431,49.93974,0.00013889,25.472,2.612
GRB120830297,GRB120830A,368003226.0,88.5027,-28.70178,0.000152,0.896,0.231
GRB120911268GBM~,GRB120911B,369037578.0,172.03,-37.51,0.3,69,0
GRB120916173,GRB120916A,369461323.0,205.81,36.66,0.3,52.993,0.81
GRB121011469,GRB121011A,371646928.0,260.21342,41.110389,0.0001111,65.793,4.382
GRB121225417,GRB121225B,378122456.0,310.45,-34.83,1.5,58.497,0.82
GRB130206817,GRB130206A,381872193.0,140.37671,-58.193611,0.001556,91.585,12.332
GRB130228111,GRB130228A,383712005.0,255.46,55.02,0.5,107.778,1.448
GRB130305486,GRB130305A,384176354.0,116.74762,52.033333,0.001056,25.6,1.557
GRB130310840,GRB130310A,384638984.0,142.34,-17.23,0.45,16.0,2.561
GRB130325203,GRB130325A,385879917.0,122.78,-18.9,0.25,6.912,0.724
GRB130327350,GRB130327B,386065447.0,217.87487,-69.403444,0.00114,31.233,0.724
GRB130427324,GRB130427A,388741629.0,173.136,27.7129,0.0013,138.242,3.238
GRB130502327,GRB130502B,389173874.0,66.76175,71.0607,nan,24.32,0.362
GRB130504979,GRB130504C,389402940.0,91.630375,3.8338889,0.0009999,73.217,2.111
GRB130518580,GRB130518A,390578080.0,355.66781,47.46493,0.000138885,48.577,0.916
GRB130606497,GRB130606B,392212536.0,218.52931,-22.10229,0.0005,52.225,0.724
GRB130702004,GRB130702A,394416326.0,217.31158,15.774,0.0,58.881,6.192
GRB130821674,GRB130821A,398794231.0,313.92706,-11.96634,0.000639,87.041,1.145
GRB130828306,GRB130828A,399367203.0,259.7885,28.220569,0.002222,136.962,0.923
GRB130907904BATt90,GRB130907A,400282942.0,215.89183,45.60753,0.000139,115.14,0.67
GRB131014215,GRB131014A,403420143.0,100.3033,-19.0971,0.001667,3.2,0.091
GRB131018673,GRB131018B,403805322.0,304.41,23.11,0.13,39.936,12.331
GRB131029973,GRB131029A,404781651.0,200.785,48.298,0.26,104.449,7.241
GRB131108862,GRB131108A,405636118.0,156.502,9.6622361,0.0001389,18.176,0.572
GRB131209547,GRB131209A,408287279.97,136.5,-33.2,0.9,13.568,1.145
GRB131216081,GRB131216A,408851795.06,91.59,-35.5,2.7,19.262,3.598
GRB131231198,GRB131231A,410157919.08,10.590271,-1.6529472,8.3e-05,31.232,0.572
GRB140102887,GRB140102A,410390260.64,211.91939,1.33329,0.00014,3.648,0.091
GRB140104731,GRB140104B,410549526.15,218.75417,-9.0279722,0.00111,187.137,2.996
GRB140110263,GRB140110A,411027520.94,28.9,-36.26,0.5,9.472,1.619
GRB140206275,GRB140206B,413361375.0,315.26,-8.51,0.23,146.69,4.419
GRB140219824,GRB140219A,414531995.0,156.44,7.46,5.0,77.056,2.996
GRB140323433,GRB140323A,417262994.9,356.95962,-79.90455,0.000444,111.426,3.027
GRB140329295,GRB140329A,417769481.33,145.698,-32.229,0.2,21.248,1.056
GRB140402007,GRB140402A,418090210.0,207.651,6.006,0.0667,0.32,0.63
GRB140523129,GRB140523A,422507160.0,133.3,24.95,0.4,19.2,0.362
GRB140619475,GRB140619B,424869883.51,132.68,-9.66,0.06,2.816,0.81
GRB140723067,GRB140723A,427772193.73,210.63,-3.73,0.35,56.32,4.222
GRB140729026,GRB140729A,428287016.71,195.95,15.35,0.34,55.553,4.382
GRB140810782,GRB140810A,429389173.09,119.04,27.55,0.12,81.665,0.572
GRB140928437,GRB140928A,433592996.55,43.698833,-55.928889,0.0001389,17.92,6.72
GRB141028455,GRB141028A,436186506.08,322.60226,-0.231314,0.0001389,31.489,2.429
GRB141102536,GRB141102A,436625502.26,208.614,-47.1,0.067,2.624,0.326
GRB141207800,GRB141207A,439672293.64,159.8547,3.71139,0.00136,20.992,0.572
GRB141222298,GRB141222A,440924940.4,178.04,-57.35,0.1,2.752,0.264
GRB150118409,GRB150118B,443267300.76,240.24,-35.75,0.5,40.193,0.572
GRB150127398,GRB150127A,444043967.14,285.7,-8.4,2.8,52.736,3.62
GRB150202999,GRB150202B,444614351.27,86.731,59.127,0.47,167.427,3.367
GRB150210935,GRB150210A,445299987.28,112.18,13.31,0.3,31.294,0.602
GRB150314205,GRB150314A,448001693.0,126.67042,63.83429,0.000472,10.688,0.143
GRB150403913,GRB150403A,449790853.95,311.50479,-62.71139,0.000116,22.272,0.81
GRB150416773,GRB150416A,450902008.97,58.8,53.0,1.9,33.281,3.665
GRB150510139,GRB150510A,452920796.74,16.16,4.79,0.36,51.904,0.453
GRB150513855,GRB150513A,453241882.73,49.058,-22.913,5.0,158.978,2.862
GRB150514774,GRB150514A,453321308.35,74.87623,-60.96841,0.0001194,10.813,1.072
GRB150523396,GRB150523A,454066191.08,115.28613,-45.42011,0.000216,82.433,2.573
GRB150627183,GRB150627A,457071806.0,117.47108,-51.489417,0.000277,64.577,0.59
GRB150702998,GRB150702A,457574201.55,52.78,-57.0,0.36,45.825,2.064
GRB150724782,GRB150724B,459456340.71,351.8905,3.8181,0.0683,37.889,0.572
GRB150902733,GRB150902A,462908142.37,214.9796,-69.3536,0.00119,13.568,0.362
GRB151006413,GRB151006A,465818104.0,147.42592,70.503,0.00047,93.44,6.149
GRB160101215,GRB160101B,473317815.86,1.4,55.2,1.4,22.013,1.619
GRB160310016,GRB160310A,479262181.47,98.822208,-7.2155556,0.0001389,25.857,2.828
GRB160314929,GRB160314B,479686676.0,167.56,45.67,0.65,98.562,5.431
GRB160325291,GRB160325A,480581964.51,15.65118,-72.69634,0.0001694397,42.945,0.572
GRB160422499,GRB160422A,483019143.81,42.09493,-57.87512,0.000125,12.288,0.362
GRB160503567,GRB160503A,483975395.01,0.54,-1.93,0.52,28.672,1.493
GRB160509374,GRB160509A,484477151.16,311.75371,76.108033,6.94425e-05,369.67,0.81
GRB160521385,GRB160521B,485514841.03,147.6665,79.0305,0.001167,2.816,0.628
GRB160623209,GRB160623A,488350837.0,315.2967,42.2205,0.000972,107.776,8.693
GRB160625945,GRB160625B,488587219.28,308.59792,6.9189167,0.000139,453.385,0.572
GRB160709826,GRB160709A,489786546.5,235.996,-28.188,0.04,5.44,0.453
GRB160816730,GRB160816A,493061461.975,322.41075,37.132972,0.000278,11.072,0.091
GRB160821859,GRB160821A,493504607.33,171.25667,42.334722,0.000833,43.009,0.724
GRB160829334,GRB160829A,494150500.64,201.7,-56.77,0.12,0.512,0.202
GRB160905471,GRB160905A,494767138.91,162.24585,-50.80095,0.000389,33.537,1.379
GRB160910722,GRB160910A,495220782.15,221.44183,39.066722,0.000139,24.32,0.362
GRB161109263,GRB161109A,500365128.66,157.86,61.8,0.26,23.552,1.379
GRB161202970CZTI,GRB161202A,502413395.0,356.90269,19.64648,0.00044,75.25,0
GRB170115743,GRB170115B,506195357.03,189.12,-46.85,0.26,44.288,3.083
GRB170214649,GRB170214A,508779269.92,256.34125,-1.8876944,0.000194,122.882,0.724
GRB170228794,GRB170228A,510001383.71,239.55,-3.59,0.3,60.673,2.111
GRB170306588,GRB170306B,510502045.27,154.62,51.59,0.61,18.944,0.923
GRB170329387,GRB170329A,512471829.94,356.0,23.79,0.6,33.536,6.149
GRB170405777,GRB170405A,513110367.0,219.828,-25.243,5.0,78.593,0.572
GRB170409112,GRB170409A,513398523.49,347.53,-7.16,0.15,64.001,0.724
GRB170510217,GRB170510A,516085950.73,159.911,-39.328,0.34,127.746,0.923
GRB170522657,GRB170522A,517160738.28,139.34,25.67,0.19,7.424,0.572
GRB170808936,GRB170808B,523924068.0,145.66,2.18,0.34,17.664,0.572
GRB170810918,GRB170810A,524095306.0,187.93852,3.66084,0.00047,136.96,14.954
GRB170906030,GRB170906A,526351396.0,203.95497,-47.10054,0.00017,78.849,0.724
GRB171010792,GRB171010A,529354855.58,66.74,-10.53,0.2,107.266,0.81
GRB171022885,GRB171022A,530399665.0,204.27,10.97,0.17,13.278,0.558
GRB171102107,GRB171102A,531282820.0,187.684,54.11,0.0,48.385,0.572
GRB171120556,GRB171120A,532876807.0,163.84,22.4,0.17,44.062,0.383
GRB171124235,GRB171124A,533194681.5,335.47598,35.33213,0.00063,26.177,0.923
GRB171210493,GRB171210A,534599360.0,335.29,24.44,0.15,143.107,2.573
GRB171212434,GRB171212B,534767063.0,39.44,-70.62,0.39,32.001,1.379
GRB180210517,GRB180210A,539958283.0,1.8,18.35,0.18,38.913,0.724
GRB180305393,GRB180305A,541934773.66,49.67,32.1,0.12,13.056,0.81
GRB180703949,GRB180703B,552350816.0,96.92,-29.88,0.4,1.536,0.091
GRB180718763,GRB180718B,553630709.0,44.68,-31.5,0.65,98.306,4.891
GRB180720598,GRB180720B,553789304.0,0.52856,-2.91892,0.00093,48.897,0.362
GRB180914522,GRB180914A,558621112.248,52.74,-5.26,0.4,122.37,0.572
GRB180914BCZTI,GRB180914B,558642187.0,332.45,24.88,0.33,146.8,0
GRB181020792,GRB181020A,561754838.297,14.1,-47.3,1.1,15.104,0.572
GRB181120265,GRB181120A,564387684.084,20.38,4.17,1.0,17.374,0.799
GRB181201AHXMT,GRB181201A,565324685.0,319.28,-12.6,0.06,15.18,0
GRB181225489,GRB181225A,567431055.534,348.07,-9.48,0.13,41.473,2.862
GRB190114873,GRB190114C,569192227.626,54.57,-26.99,0.05,116.354,2.563
GRB190122305,GRB190122A,569834352.574,258.71,48.12,0.91,54.016,3.338
GRB190511302,GRB190511A,579251669.358,126.36,-20.25,0.2,27.648,1.145
GRB190515190,GRB190515A,579587588.135,137.687,29.276,0.907,1.264,0.471
GRB190530430,GRB190530A,580904353.903,120.76,35.5,0.12,18.432,0.362
GRB190531840,GRB190531B,581026217.142,24.37,-41.97,0.11,38.145,0.923
GRB190606080,GRB190606A,581478912.776,76.54,-0.68,3.0,0.224,0.036
GRB190727846,GRB190727B,585951481.447,126.19,-13.34,0.28,35.073,0.572
GRB190731943,GRB190731A,586305505.369,339.94,-76.62,0.28,15.872,0.362
GRB191202867,GRB191202A,597012536.23,249.54,17.56,0.24,30.721,0.81
GRB200219998,GRB200219C,603849435.333,262.7,10.5,0.24,21.632,0.73
GRB200412381,GRB200412B,608375325.707,277.48,61.79,0.5,6.08,0.286
GRB200415367,GRB200415A,608633290.564,11.0,-25.1,0.5,0.144,0.036
GRB200524211,GRB200524A,611989445.358,212.8,61.0,0.2,37.761,6.209
GRB200530031,GRB200530A,612492255.568,32.1,69.2,0.5,22.528,2.29
GRB200613229,GRB200613A,613719013.214,153.03,45.85,0.14,478.026,3.168
GRB200625532,GRB200625A,614781954.143,172.8,-14.7,0.2,63.488,1.619
GRB200711461,GRB200711A,616158277.931,285.8,0.2,0.4,29.441,1.145
GRB200716957,GRB200716C,616633066.18,195.7,29.9,0.3,5.312,0.389
GRB200803149,GRB200803A,618118471.568,311.29,-63.08,0.46,118.274,1.145
GRB201020732,GRB201020B,624908039.329,74.9,77.0,0.21,15.872,0.362
GRB201104001,GRB201104A,626140861.75,81.4,-71.1,0.24,52.48,7.428
GRB201116035,GRB201116A,627180592.692,149.33,0.32,0.24,6.784,0.202
GRB201208252,GRB201208A,629100208.248,158.3,-28.8,0.16,44.801,5.971
GRB210202841,GRB210202A,633989436.299,230.0,-38.0,0.7,17.664,0.572
GRB210306162,GRB210306A,636695642.108,130.3,60.2,0.38,9.536,0.143
GRB210410037,GRB210410A,639708801.519,268.9,45.2,0.5,48.128,2.828
GRB210520797,GRB210520A,643230427.94,123.0,-69.4,0.7,56.065,3.083
GRB210619999,GRB210619B,645839970.604,319.7,33.9,0.13,54.785,0.572
GRB210704815,GRB210704A,647120009.588,159.08,57.31,0.11,4.672,0.181
