Name,alpha1,alpha1_errl,alpha1_erru,t_break(s),tbreak_errl,tbreak_erru,alpha1,alpha1_errl,alpha1_erru
GRB241030A,0.94,0.03,-0.04,9817,1.25e+3,-1776,1.52,0.05,-0.05
GRB240825A,0.86,0.04,-0.06,444,46,-49,1.14,0.03,-0.03
GRB240527B,0.47,0.33,-0.13,6.0e+4,2.4e+4,-2.3e+4,1.9,0.5,-0.4
GRB231104A,0.72,0.06,-0.06,4539,4.33e+3,-2148,1.10,0.08,0.07
GRB220101A,-0.8,0.5,-0.5,132,24,-12,1.128,0.007,-0.007
GRB210822A,1.096,0.010,-0.010,8531,1.58e+3,-1568,1.78,0.08,-0.07
GRB210619B,1.030,0.011,-0.010,1.90e+4,0.26e+4,-0.19e+4,1.458,0.033,-0.029
GRB210306A,0.432,0.027,-0.027,1486,176,-171,1.54,0.06,-0.05
GRB200716C,1.02,0.09,-0.10,3459,3.75e+3,-1010,1.62,0.08,-0.07
GRB200711A,0.62,0.05,-0.05,7063,1.6e+3,-1603,1.62,0.16,-0.15
GRB190531B,1.00,0.21,-0.32,8e+4,8e+4,-3e+4,1.59,0.13,-0.13
GRB190511A,1.08,0.04,-0.04,2.1e+4,0.7e+4,-0.6e+4,2.3,0.5,-0.3
GRB190114C,1.262,0.013,-0.019,1.6e+4,0.4e+4,-0.3e+4,1.50,0.04,-0.03
GRB181020A,0.607,0.029,-0.053,462.4,14.8,-36.8,1.51,0.07,-0.07
GRB180720B,0.520,0.029,-0.032,2.09e+3,0.09e+3,-0.06e+3,1.193,0.013,-0.012
GRB171120A,0.41,0.07,-0.07,3.13,1.05e+4,-0.42e+4,1.60,0.14,-0.13
GRB171010A,1.33,0.07,-0.09,3.5e+5,1.1e+5,-1.7e+5,2.0,0.3,-0.3
GRB170906A,0.51,0.14,-0.14,676,56,-40,1.634,0.034,-0.028
GRB170810A,0.99,0.03,-0.03,3.2e+4,0.8e+4,-0.8e+4,1.80,0.35,-0.24
GRB170405A,0.93,0.10,-0.66,5470,6.89e+3,-3138,1.84,0.14,-0.11
GRB161202A,0.90,0.06,-0.06,8892,1.09e+4,-2812,1.43,0.34,-0.11
GRB160905A,0.684,0.018,-0.015,1.14e+3,0.09e+3,-0.06e+3,1.248,0.020,-0.018
GRB160509A,0.64,0.08,-0.09,4.1,0.5e+4,-0.5e+4,1.27,0.06,-0.06
GRB160325A,0.96,0.07,-0.08,497,54,-55,1.47,0.06,-0.05
GRB151006A,-0.2,1.1,-1.3,59,47,-9,1.402,0.019,-0.018
GRB150403A,0.406,0.017,-0.021,711,50,-78,0.85,0.04,-0.05
GRB150314A,0.914,0.017,-0.017,1663,245,-232,1.52,0.04,-0.04
GRB140323A,0.560,0.041,-0.110,5689,762,-1892,1.23,0.10,-0.09
GRB140102A,1.179,0.023,-0.021,4064,1.15e+3,-1100,1.61,0.07,-0.07
GRB130907A,0.439,0.021,-0.059,1000.0,29.9,-145.9,1.22,0.05,-0.05
GRB120729A,1.073,0.029,-0.121,6.3e+3,2.1e+3,-1.6e+3,2.0,0.7,-0.5
GRB110731A,0.62,0.16,-0.18,114.3,13.7,-9.4,1.179,0.012,-0.011
GRB110709A,0.776,0.027,-0.028,6081,465,-614,1.71,0.08,-0.07
GRB110625A,1.10,0.04,-0.04,1.8e+4,1.9e+4,-0.4e+4,2.5,5.5,-0.5
GRB100728A,1.143,0.028,-0.043,1.29e+4,0.28e+4,-0.29e+4,1.58,0.07,-0.06
GRB091208B,-0.2,0.4,-0.6,800,327,-155,1.12,0.06,-0.06
GRB090510A,0.66,0.05,-0.06,1517,197,-229,2.13,0.10,-0.11
