Name,alpha1,alpha1_errl,alpha1_erru,t_break(s),tbreak_errl,tbreak_erru,alpha1,alpha1_errl,alpha1_erru
GRB080810,0.78,0.05,-0.05,5741,1250,-901,1.53,0.08,-0.07
GRB080916A,0.70,0.10,-0.12,3.3e+4,1.6e+4,-1.2e+4,1.24,0.09,-0.08
GRB081029,0.45,0.08,-0.08,1.76e+4,0.14e+4,-0.15e+4,2.63,0.27,-0.23
GRB081109,1.03,0.04,-0.43,9016,2.99e+4,-7283,1.296,0.257,-0.072
GRB081126,0.64,0.03,-0.03,7464,1.36e+3,-1246,1.51,0.10,-0.08
GRB081203A,1.126,0.026,-0.025,8933,1.49e+3,-1372,1.91,0.10,-0.09
GRB091127,0.73,0.10,-0.34,5.7e+5,2.2e+5,-1.3e+5,1.59,0.23,-0.13
GRB090424,0.70,0.04,-0.04,1.11e+3,0.12e+3,-0.12e+3,1.111,0.017,-0.015
GRB090516,0.820,0.080,-0.127,1.66e+4,0.20e+4,-0.25e+44,1.75,0.08,-0.07
GRB090813,0.20,0.07,-0.09,366,47,-40,0.945,0.070,-0.231
GRB100413A,0.99,0.16,-0.15,3236,4.93e+3,-1031,1.50,0.06,-0.06
GRB100606A,0.90,0.14,-0.25,2339,849,-1034,2.3,0.4,-0.4
GRB100902A,0.70,0.04,-0.04,7.80e+5,0.96e+5,-1.22e+5,4,2,-1
GRB100906A,0.63,0.06,-0.06,8128,1.20e+3,-1294,1.75,0.10,-0.14
GRB101117B,0.77,0.08,-0.09,1268,595,-419,1.22,0.08,-0.08
GRB110801A,0.79,0.13,-0.13,641,329,-189,1.37,0.06,-0.05
GRB111121A,0.86,0.09,-0.10,8974,1.91e+3,-2051,1.86,0.27,-0.24
GRB110213A,-0.25,0.08,-0.17,1.45e+3,0.13e+3,-0.29e+3,1.04,+0.06,-0.09
GRB120324A,0.39,0.05,-0.06,6699,1.22e+3,-1139,1.16,0.05,-0.05
GRB120703A,0.605,0.048,-0.169,4246,4.35e+3,-2191,1.12,0.04,-0.04
GRB121212A,0.51,0.10,-0.20,4335,3.58e+3,-2266,0.87,0.10,-0.10
GRB130504A,0.62,0.12,-0.12,4027,1.53e+3,-1030,1.59,0.23,-0.17
GRB130528A,0.0,0.6,-0.8,1233,7.34e+3,-472,1.11,0.06,-0.06
GRB131002A,0.33,0.37,-1.18,4266,5.39e+3,-2098,1.23,0.08,-0.08
GRB140706A,0.437,0.096,-0.120,7145,2.66e+3,-1813,1.17,0.17,-0.14
GRB140709A,0.53,0.06,-0.06,1.42e+4,0.31e+4,-0.24e+4,1.29,0.10,-0.09
GRB140903A,0.18,0.09,-0.10,7889,2.03e+3,-1325,1.17,0.11,-0.10
GRB150103A,0.44,0.24,-0.94,418,56,-175,2.37,0.31,-0.26
GRB151027A,0.06,0.05,-0.08,3.98e+3,0.23e+3,-0.26e+3,1.647,0.026,-0.025
GRB151229A,0.51,0.10,-0.13,508,259,-157,0.94,0.04,-0.04
GRB160127A,0.698,0.063,-0.114,2992,1.03e+3,-1609,1.48,0.14,-0.19
GRB160131A,1.114,0.008,-0.008,9.1e+4,1.3e+4,-1.5e+4,1.88,0.22,-0.18
GRB160824A,0.41,0.06,-0.08,7499,1.37e+3,-1662,1.39,0.16,-0.17
GRB170822A,-0.54,0.20,-0.27,2838,357,-305,1.89,0.08,-0.07
GRB170912B,0.62,0.08,-0.08,2805,835,-869,1.9,0.4,-0.3
GRB171209A,0.73,0.10,-0.82,1.74e+4,0.13e+4,-0.15e+4,2.29,0.34,-0.27
GRB180314A,0.64,0.21,-0.18,2.3e+3,2.8e+3,-1.0e+3,1.08,0.07,-0.05
GRB180728A,0.57,0.09,-0.09,4753,890,-623,1.106,0.025,-0.025
GRB181110A,0.29,0.11,-1.59,5321,451,-3625,1.839,0.107,-0.093
GRB190203A,0.947,0.022,-0.022,2735,413,-402,1.68,0.06,-0.06
GRB210207B,0.73,0.03,-0.03,8531,1.07e+3,-1028,1.67,0.08,-0.07
GRB210308A,0.85,0.07,-0.06,2104,835,-701,1.58,0.16,-0.14
GRB220430A,1.03,0.04,-0.03,7798,2.46e+3,-2128,1.58,0.10,-0.09
GRB230325A,0.54,0.11,-0.13,1.2e+5,0.8e+5,-0.9e+5,1.2,0.4,-0.3
GRB230328B,0.55,0.09,-0.05,8974,5.52e+3,-1262,1.37,0.04,-0.04
GRB230409B,0.62,0.12,-0.13,4571,5.42e+3,-3286,1.15,0.19,-0.18
GRB240529A,-0.26,0.12,-0.18,1.35e+4,0.06e+4,-0.10e+4,1.94,0.05,-0.06
GRB241010A,-0.24,0.30,-0.38,1563,1.03e+3,-426,0.90,0.06,-0.07
GRB241025A,1.095,0.028,-0.024,8.6e+4,5.8e+4,-1.2e+4,3.6,4.4,-0.9
